epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.80971,2.72237,0.06667,0.38,2.71211,0.000172996,0.000172996,0.000172996
2,8.60684,2.72196,0.14,0.47667,2.6123,0.00034603,0.00034603,0.00034603
3,12.1488,2.59101,0.19667,0.63333,2.41289,0.00051675,0.00051675,0.00051675
4,15.5948,2.31461,0.32333,0.79333,2.1,0.000515585,0.000515585,0.000515585
5,19.0935,2.14874,0.33667,0.79,1.9623,0.000512114,0.000512114,0.000512114
6,22.5563,2.103,0.33333,0.8,1.90303,0.000508642,0.000508642,0.000508642
7,26.0345,1.86155,0.54333,0.89333,1.45742,0.00050517,0.00050517,0.00050517
8,29.505,1.82292,0.39667,0.88,1.62109,0.000501699,0.000501699,0.000501699
9,32.9566,1.6578,0.51333,0.88,1.62822,0.000498227,0.000498227,0.000498227
10,36.3781,1.60547,0.48,0.91,1.47432,0.000494756,0.000494756,0.000494756
11,40.129,1.54869,0.57333,0.94333,1.26494,0.000491284,0.000491284,0.000491284
12,43.5888,1.49151,0.61667,0.94333,1.08882,0.000487812,0.000487812,0.000487812
13,47.0633,1.44229,0.60667,0.95333,1.22832,0.000484341,0.000484341,0.000484341
14,50.5213,1.39251,0.70333,0.97667,0.88525,0.000480869,0.000480869,0.000480869
15,53.9737,1.35039,0.61333,0.97333,0.97881,0.000477398,0.000477398,0.000477398
16,57.4118,1.28903,0.66,0.97,0.99395,0.000473926,0.000473926,0.000473926
17,60.8163,1.22625,0.7,0.99333,0.80994,0.000470454,0.000470454,0.000470454
18,64.2496,1.20848,0.75,0.98667,0.69648,0.000466983,0.000466983,0.000466983
19,67.6726,1.14054,0.77,0.99,0.68315,0.000463511,0.000463511,0.000463511
20,71.172,1.14826,0.77,0.98,0.79531,0.00046004,0.00046004,0.00046004
21,74.6686,1.13148,0.65333,0.97667,0.95884,0.000456568,0.000456568,0.000456568
22,78.107,1.07394,0.77,0.99667,0.66316,0.000453096,0.000453096,0.000453096
23,81.5527,1.10786,0.74667,0.99333,0.72637,0.000449625,0.000449625,0.000449625
24,85.0144,1.09227,0.81667,0.98333,0.60945,0.000446153,0.000446153,0.000446153
25,88.5247,1.02449,0.77333,0.99667,0.66653,0.000442682,0.000442682,0.000442682
26,91.9586,1.01087,0.74,0.99333,0.66333,0.00043921,0.00043921,0.00043921
27,95.366,0.98717,0.76667,0.99333,0.67463,0.000435738,0.000435738,0.000435738
28,98.8363,0.92345,0.73667,0.99333,0.71733,0.000432267,0.000432267,0.000432267
29,102.294,0.90162,0.85667,0.99667,0.42494,0.000428795,0.000428795,0.000428795
30,105.752,0.93236,0.72,0.99667,0.76206,0.000425324,0.000425324,0.000425324
31,109.202,0.92445,0.82667,0.99,0.51145,0.000421852,0.000421852,0.000421852
32,112.614,0.87668,0.81,0.99667,0.50305,0.00041838,0.00041838,0.00041838
33,115.969,0.85402,0.78333,0.99333,0.52043,0.000414909,0.000414909,0.000414909
34,119.432,0.85079,0.85667,0.99667,0.42543,0.000411437,0.000411437,0.000411437
35,122.847,0.84074,0.78333,0.99667,0.64406,0.000407966,0.000407966,0.000407966
36,126.248,0.79037,0.88,1,0.37466,0.000404494,0.000404494,0.000404494
37,129.709,0.75868,0.83333,0.99667,0.40919,0.000401022,0.000401022,0.000401022
38,133.139,0.77596,0.84,0.99667,0.45659,0.000397551,0.000397551,0.000397551
39,136.568,0.79867,0.82333,0.99333,0.55764,0.000394079,0.000394079,0.000394079
40,139.926,0.74322,0.85333,1,0.39734,0.000390608,0.000390608,0.000390608
41,143.563,0.77008,0.89333,0.99333,0.3254,0.000387136,0.000387136,0.000387136
42,146.995,0.68924,0.82667,1,0.43478,0.000383664,0.000383664,0.000383664
43,150.387,0.67482,0.86,1,0.35239,0.000380193,0.000380193,0.000380193
44,153.828,0.67142,0.86,1,0.37528,0.000376721,0.000376721,0.000376721
45,157.249,0.69533,0.88,1,0.32092,0.00037325,0.00037325,0.00037325
46,160.685,0.67266,0.89667,0.99667,0.30898,0.000369778,0.000369778,0.000369778
47,164.149,0.68451,0.85667,1,0.40576,0.000366306,0.000366306,0.000366306
48,167.582,0.63598,0.91667,1,0.26199,0.000362835,0.000362835,0.000362835
49,171.036,0.63285,0.89,1,0.26984,0.000359363,0.000359363,0.000359363
50,174.458,0.61615,0.88333,0.99667,0.33386,0.000355892,0.000355892,0.000355892
51,177.885,0.60295,0.86333,0.99667,0.39824,0.00035242,0.00035242,0.00035242
52,181.258,0.61601,0.87333,0.99667,0.36884,0.000348948,0.000348948,0.000348948
53,184.828,0.6207,0.91333,1,0.29348,0.000345477,0.000345477,0.000345477
54,188.303,0.61286,0.89667,1,0.27904,0.000342005,0.000342005,0.000342005
55,191.807,0.53095,0.89333,1,0.30029,0.000338534,0.000338534,0.000338534
56,195.154,0.64341,0.88,1,0.31259,0.000335062,0.000335062,0.000335062
57,198.626,0.55457,0.9,0.99667,0.26514,0.00033159,0.00033159,0.00033159
58,202.106,0.55799,0.93,1,0.21244,0.000328119,0.000328119,0.000328119
59,205.597,0.56714,0.91333,1,0.26603,0.000324647,0.000324647,0.000324647
60,209.022,0.54328,0.93333,1,0.24999,0.000321176,0.000321176,0.000321176
61,212.554,0.52126,0.91667,1,0.24995,0.000317704,0.000317704,0.000317704
62,216.154,0.54518,0.91,1,0.25739,0.000314232,0.000314232,0.000314232
63,219.64,0.52548,0.92,1,0.23106,0.000310761,0.000310761,0.000310761
64,223.055,0.53542,0.91333,0.99667,0.28366,0.000307289,0.000307289,0.000307289
65,226.488,0.49628,0.88333,1,0.29529,0.000303818,0.000303818,0.000303818
