epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.77395,2.71625,0.06667,0.38333,2.7125,0.000172996,0.000172996,0.000172996
2,13.118,2.71055,0.12667,0.48333,2.59727,0.00034603,0.00034603,0.00034603
3,20.0153,2.616,0.19667,0.63667,2.5082,0.00051675,0.00051675,0.00051675
4,26.4943,2.33634,0.21333,0.72667,2.65488,0.000515585,0.000515585,0.000515585
5,32.7884,2.15204,0.29333,0.82333,1.94834,0.000512114,0.000512114,0.000512114
6,39.1005,2.00286,0.40667,0.85667,1.82363,0.000508642,0.000508642,0.000508642
7,45.2995,1.8889,0.47333,0.89667,1.55918,0.00050517,0.00050517,0.00050517
8,51.414,1.79862,0.49667,0.91,1.40811,0.000501699,0.000501699,0.000501699
9,57.596,1.73531,0.48667,0.9,1.50664,0.000498227,0.000498227,0.000498227
10,63.8496,1.60889,0.40667,0.9,1.60752,0.000494756,0.000494756,0.000494756
11,70.0947,1.5627,0.57333,0.95667,1.13252,0.000491284,0.000491284,0.000491284
12,76.3743,1.46857,0.64333,0.94333,1.09834,0.000487812,0.000487812,0.000487812
