epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.20102,2.72237,0.06667,0.38,2.71211,0.000172996,0.000172996,0.000172996
2,5.92454,2.72196,0.14,0.47667,2.6123,0.00034603,0.00034603,0.00034603
3,8.45433,2.59101,0.19667,0.63333,2.41289,0.00051675,0.00051675,0.00051675
4,10.9439,2.31461,0.32333,0.79333,2.1,0.000515585,0.000515585,0.000515585
5,13.4818,2.14874,0.33667,0.79,1.9623,0.000512114,0.000512114,0.000512114
6,15.9811,2.103,0.33333,0.8,1.90303,0.000508642,0.000508642,0.000508642
7,18.4797,1.86155,0.54333,0.89333,1.45742,0.00050517,0.00050517,0.00050517
8,21.0166,1.82292,0.39667,0.88,1.62109,0.000501699,0.000501699,0.000501699
9,23.5607,1.6578,0.51333,0.88,1.62822,0.000498227,0.000498227,0.000498227
10,26.0522,1.60547,0.48,0.91,1.47432,0.000494756,0.000494756,0.000494756
11,28.5382,1.54869,0.57333,0.94333,1.26494,0.000491284,0.000491284,0.000491284
12,31.0538,1.49151,0.61667,0.94333,1.08882,0.000487812,0.000487812,0.000487812
13,33.5508,1.44229,0.60667,0.95333,1.22832,0.000484341,0.000484341,0.000484341
14,36.0534,1.39251,0.70333,0.97667,0.88525,0.000480869,0.000480869,0.000480869
15,38.5856,1.35039,0.61333,0.97333,0.97881,0.000477398,0.000477398,0.000477398
16,41.0578,1.28903,0.66,0.97,0.99395,0.000473926,0.000473926,0.000473926
17,43.5852,1.22625,0.7,0.99333,0.80994,0.000470454,0.000470454,0.000470454
18,46.0647,1.20848,0.75,0.98667,0.69648,0.000466983,0.000466983,0.000466983
19,48.7735,1.14054,0.77,0.99,0.68315,0.000463511,0.000463511,0.000463511
20,51.2605,1.14826,0.77,0.98,0.79531,0.00046004,0.00046004,0.00046004
21,53.8128,1.13148,0.65333,0.97667,0.95884,0.000456568,0.000456568,0.000456568
22,56.287,1.07394,0.77,0.99667,0.66316,0.000453096,0.000453096,0.000453096
23,58.7832,1.10786,0.74667,0.99333,0.72637,0.000449625,0.000449625,0.000449625
24,61.2734,1.09227,0.81667,0.98333,0.60945,0.000446153,0.000446153,0.000446153
25,63.7859,1.02449,0.77333,0.99667,0.66653,0.000442682,0.000442682,0.000442682
26,66.2717,1.01087,0.74,0.99333,0.66333,0.00043921,0.00043921,0.00043921
27,68.7827,0.98717,0.76667,0.99333,0.67463,0.000435738,0.000435738,0.000435738
28,71.3038,0.92345,0.73667,0.99333,0.71733,0.000432267,0.000432267,0.000432267
29,73.787,0.90162,0.85667,0.99667,0.42494,0.000428795,0.000428795,0.000428795
30,76.2753,0.93236,0.72,0.99667,0.76206,0.000425324,0.000425324,0.000425324
31,78.7517,0.92445,0.82667,0.99,0.51145,0.000421852,0.000421852,0.000421852
32,81.2191,0.87668,0.81,0.99667,0.50305,0.00041838,0.00041838,0.00041838
33,83.7206,0.85402,0.78333,0.99333,0.52043,0.000414909,0.000414909,0.000414909
34,86.2445,0.85079,0.85667,0.99667,0.42543,0.000411437,0.000411437,0.000411437
35,88.8085,0.84074,0.78333,0.99667,0.64406,0.000407966,0.000407966,0.000407966
36,91.4007,0.79037,0.88,1,0.37466,0.000404494,0.000404494,0.000404494
37,93.9436,0.75868,0.83333,0.99667,0.40919,0.000401022,0.000401022,0.000401022
38,96.5344,0.77596,0.84,0.99667,0.45659,0.000397551,0.000397551,0.000397551
39,99.2378,0.79867,0.82333,0.99333,0.55764,0.000394079,0.000394079,0.000394079
40,101.938,0.74322,0.85333,1,0.39734,0.000390608,0.000390608,0.000390608
41,104.616,0.77008,0.89333,0.99333,0.3254,0.000387136,0.000387136,0.000387136
42,107.197,0.68924,0.82667,1,0.43478,0.000383664,0.000383664,0.000383664
43,109.802,0.67482,0.86,1,0.35239,0.000380193,0.000380193,0.000380193
44,112.374,0.67142,0.86,1,0.37528,0.000376721,0.000376721,0.000376721
45,114.969,0.69533,0.88,1,0.32092,0.00037325,0.00037325,0.00037325
46,117.661,0.67266,0.89667,0.99667,0.30898,0.000369778,0.000369778,0.000369778
47,120.464,0.68451,0.85667,1,0.40576,0.000366306,0.000366306,0.000366306
48,123.033,0.63598,0.91667,1,0.26199,0.000362835,0.000362835,0.000362835
49,125.628,0.63285,0.89,1,0.26984,0.000359363,0.000359363,0.000359363
50,128.286,0.61615,0.88333,0.99667,0.33386,0.000355892,0.000355892,0.000355892
51,130.996,0.60295,0.86333,0.99667,0.39824,0.00035242,0.00035242,0.00035242
52,133.805,0.61601,0.87333,0.99667,0.36884,0.000348948,0.000348948,0.000348948
53,136.45,0.6207,0.91333,1,0.29348,0.000345477,0.000345477,0.000345477
54,139.063,0.61286,0.89667,1,0.27904,0.000342005,0.000342005,0.000342005
55,141.766,0.53095,0.89333,1,0.30029,0.000338534,0.000338534,0.000338534
56,144.371,0.64341,0.88,1,0.31259,0.000335062,0.000335062,0.000335062
57,146.872,0.55457,0.9,0.99667,0.26514,0.00033159,0.00033159,0.00033159
58,149.678,0.55799,0.93,1,0.21244,0.000328119,0.000328119,0.000328119
59,152.298,0.56714,0.91333,1,0.26603,0.000324647,0.000324647,0.000324647
60,154.783,0.54328,0.93333,1,0.24999,0.000321176,0.000321176,0.000321176
61,157.334,0.52126,0.91667,1,0.24995,0.000317704,0.000317704,0.000317704
62,159.834,0.54518,0.91,1,0.25739,0.000314232,0.000314232,0.000314232
63,162.336,0.52548,0.92,1,0.23106,0.000310761,0.000310761,0.000310761
64,164.901,0.53542,0.91333,0.99667,0.28366,0.000307289,0.000307289,0.000307289
65,167.418,0.49628,0.88333,1,0.29529,0.000303818,0.000303818,0.000303818
66,169.912,0.53757,0.91333,1,0.2216,0.000300346,0.000300346,0.000300346
67,172.663,0.5052,0.92333,1,0.19019,0.000296874,0.000296874,0.000296874
68,175.237,0.46392,0.95333,1,0.19451,0.000293403,0.000293403,0.000293403
69,177.84,0.488,0.94667,1,0.16629,0.000289931,0.000289931,0.000289931
70,180.399,0.50454,0.90333,1,0.21343,0.00028646,0.00028646,0.00028646
71,183.06,0.4411,0.94667,1,0.17942,0.000282988,0.000282988,0.000282988
72,185.627,0.45735,0.92667,1,0.17759,0.000279516,0.000279516,0.000279516
73,188.245,0.43066,0.93,1,0.19121,0.000276045,0.000276045,0.000276045
74,190.912,0.44525,0.94333,1,0.1688,0.000272573,0.000272573,0.000272573
75,193.592,0.43811,0.93333,1,0.18973,0.000269102,0.000269102,0.000269102
76,196.239,0.43666,0.92333,1,0.20574,0.00026563,0.00026563,0.00026563
77,198.848,0.41876,0.94333,0.99667,0.17336,0.000262158,0.000262158,0.000262158
78,201.391,0.39281,0.93667,1,0.15085,0.000258687,0.000258687,0.000258687
79,204.054,0.37423,0.95333,0.99667,0.16942,0.000255215,0.000255215,0.000255215
80,206.669,0.40098,0.94,1,0.17699,0.000251744,0.000251744,0.000251744
81,209.27,0.394,0.94667,1,0.18327,0.000248272,0.000248272,0.000248272
82,211.77,0.36432,0.91667,1,0.27778,0.0002448,0.0002448,0.0002448
83,214.403,0.44856,0.95,1,0.14001,0.000241329,0.000241329,0.000241329
84,217.031,0.4,0.95,1,0.15163,0.000237857,0.000237857,0.000237857
85,219.529,0.37127,0.95333,1,0.12841,0.000234386,0.000234386,0.000234386
86,222.008,0.34225,0.94,1,0.18052,0.000230914,0.000230914,0.000230914
87,224.59,0.367,0.94,1,0.16861,0.000227442,0.000227442,0.000227442
88,227.093,0.37553,0.93333,1,0.21101,0.000223971,0.000223971,0.000223971
89,229.672,0.36051,0.94333,1,0.18642,0.000220499,0.000220499,0.000220499
90,232.171,0.37813,0.94667,1,0.19031,0.000217028,0.000217028,0.000217028
91,234.741,0.36592,0.94667,1,0.14362,0.000213556,0.000213556,0.000213556
92,237.314,0.34982,0.93667,1,0.172,0.000210084,0.000210084,0.000210084
93,239.842,0.34915,0.94667,1,0.153,0.000206613,0.000206613,0.000206613
